Plot,N_sensitive,N_oligo,N_For,N_Cyan,spp_rich
1485,18,12,6,6,25
1486,17,16,4,10,29
1487,8,7,3,0,14
1488,15,14,9,0,21
1489,12,13,7,0,16
1490,13,15,7,1,19
1491,15,15,7,1,18
1493,17,17,9,1,21
1494,7,7,5,1,8
1496,10,10,7,1,11
1498,9,9,6,1,9
1499,12,14,8,1,16
1500,15,17,12,1,25
1503,9,9,6,1,11
1505,6,8,3,0,15
1506,5,2,3,0,8
1507,16,10,9,1,28
1508,13,9,7,0,20
1510,13,8,7,0,25
1511,11,5,3,3,18
1512,12,11,6,1,23
1513,11,5,5,0,18
1514,10,10,5,4,17
1516,19,16,8,0,26
1518,17,16,8,3,25
1519,18,16,12,0,30
1520,10,12,8,1,17
1522,10,15,6,0,21
1523,12,14,7,0,16
1524,18,16,8,1,23
1525,13,14,8,0,15
1527,9,9,7,1,9
1528,9,9,5,1,14
1529,6,6,4,1,6
1532,6,4,5,0,13
1533,3,1,4,0,10
1534,7,3,7,1,12
1535,10,5,6,3,19
1536,20,12,11,5,30
1538,14,13,9,4,26
1540,13,8,4,3,20
1542,21,18,8,8,37
1543,12,7,3,2,17
1545,17,17,9,2,29
1547,13,15,6,0,26
1548,24,19,10,6,33
1551,14,12,6,0,24
1553,9,10,4,0,15
1555,8,11,5,0,16
1556,13,16,7,0,18
1557,7,7,3,0,7
1559,15,14,9,0,16
1561,8,8,6,1,8
1562,13,13,8,1,24
1563,9,2,5,0,15
1565,9,6,5,4,16
1566,8,4,4,1,13
1567,16,10,7,1,23
1569,19,13,8,3,27
1571,11,8,5,1,21
1572,15,11,5,4,21
1574,13,9,8,1,23
1576,15,11,7,0,22
1578,19,17,9,0,30
1579,12,15,8,0,21
1581,12,13,6,0,19
1582,7,7,4,0,12
1586,7,10,4,0,12
1587,12,13,7,0,17
1589,13,11,6,1,14
1591,8,8,5,1,8
1592,10,4,3,1,16
1594,9,6,7,0,25
1595,5,0,1,0,7
1597,7,4,4,1,11
1599,16,15,6,9,28
1601,22,19,9,8,38
1603,10,11,6,0,17
1604,17,12,6,3,25
1605,19,15,5,7,29
1606,13,14,9,0,15
1607,17,17,11,0,21
1608,4,0,3,0,7
1610,13,7,6,1,26
1612,6,2,2,1,8
